Patient Age,Age Missing in Report,Age Over 65 Years,Age Over 70 Years,Age 50 65,Male Gender,Female Gender,Unknown Gender,Patient Weight,Weight Missing in Report,Body Mass Index (BMI),Obese (BMI >30),Overweight (BMI 25-30),Underweight (BMI <18.5),Number of Concurrent Medications,Polypharmacy,High Polypharmacy (>5 drugs),Number of Adverse Reactions,Multiple Adverse Reactions,Receiving Steroids,Receiving Antibiotics,Receiving Antifungal Medication,Receiving Antiviral Medication,Receiving Chemotherapy,Receiving Targeted Therapy,Steroid + Antibiotic Combination,History of Diabetes,History of Hypertension,History of Cardiac Disease,Cancer Stage I,Cancer Stage II,Cancer Stage III,Cancer Stage IV,Infection-Related Adverse Event
0.02246916427709572,0.027347785456269327,0.00485570839632004,0.0028701891702543367,0.0,0.0025497965166675907,0.00353378551106675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09174035906078926,0.0,0.0,0.04308464615506099,0.0,0.0,0.0029889288057031943,0.0,0.0,0.0,0.0,0.014393864815953712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016378575299597183,0.0,0.002759777805985233,0.006807934886231924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858347268191542,0.0,0.0,0.03864049954419663,0.0,0.0015189222073394848,0.0,0.005106147240131494,0.0,0.04696044608980984,0.01849363759913698,0.01281960326065684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02457639946333475,-0.0137894888049728,0.0,-0.012924319524065494,0.0,0.0,0.015810608597473463,0.0,0.016045354738241865,0.0,0.01484320020248342,0.0,0.0,0.0,-0.0648047041682539,0.0,0.0,-0.02372613286651851,0.0,0.0,0.0,0.0,0.0,-0.07324689929011567,-0.015540849606090704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.01057331110678416,0.0,0.0,0.0,0.0,0.0,0.0,-0.04328373932394749,0.0,-0.03719451150159081,0.0,-0.010614940609995804,-0.02193135003406243,-0.0747323988491503,0.0,0.0,-0.014751576476683965,0.0,0.0,0.0,0.0,0.0,-0.08115972229214619,-0.011367106408596108,0.0,0.0,0.0,0.0,0.0,0.0,-0.01084659572570279,0.0,0.0
0.03034823482004718,-0.010141248327632857,0.0,0.011379682383613187,0.0,0.0,0.009953481757484277,0.0,0.0,0.0,0.0,0.0,0.008589540980811286,0.0,-0.03974504471075056,0.0,0.0,-0.013958446771968024,0.0,-0.017751495750750416,0.0,0.0,0.0,0.1014709344137874,0.040311909934928974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008712674404592669,-0.011095966724779872,0.0,0.009978390684635744,0.0,0.0,0.011618436244208701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04456899864116366,0.0,0.0,-0.015466021675933419,0.0,0.009454791926494637,0.0,0.0,0.0,0.10289217676051648,-0.016016361611138917,0.0,0.0,0.0,0.0,0.0,0.0,-0.009148632177029888,0.0,0.0
0.029405199312926216,-0.009823292332721275,0.0,0.0,0.0,0.0,-0.02960362987244501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056645817708609436,0.0,0.0,-0.03465046905182857,-0.011861217896810135,0.0,0.0,0.0,-0.012827818975907757,0.10885059818457783,-0.0063987397944129006,0.0,0.0,0.0,0.0,0.0,0.0,-0.010610988102544594,0.0,0.0
0.022042884928265966,0.0,0.003197853058670202,0.008821141630787331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08512716609442392,0.0,0.0,0.0,0.0005799726028191121,0.0024336186224102915,0.0,0.005539458251822971,0.0,0.05590519000468599,0.020957149280087083,0.011858336335733884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.07266402717612049,-0.010703961006884647,-0.022271069741482494,-0.012268906152455798,0.0,0.0,0.0,0.0,0.03261910027274079,0.0,0.0,0.0,0.0,0.0,-0.06560640508189602,0.0,0.0,-0.012636948135544484,0.0,0.0,0.0,0.0,0.0,-0.06594196562538047,-0.019169850547370505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026127389384978716
-0.04915448351091216,0.0,0.0,-0.03535458258579466,0.0,-0.008770686291211305,-0.02879545340928777,0.0,-0.009087983630424805,0.0,0.0,0.0,0.0,0.0,-0.052130777285640806,0.0,0.0,-0.033183580604410554,-0.02171503060790392,0.0,0.0,0.0,0.0,0.09322016807204808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013287432528739516,0.0,0.0
-0.03143925500656209,-0.007020194543870706,0.0,-0.0209864663322123,0.0,0.0,-0.021823430438843487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07735465183884158,0.0,0.0,-0.028811003017106273,-0.02333416619307767,0.0,0.0,0.012516353369698191,0.0,0.06047902174495973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08118374277128398,0.0,0.0
0.0,-0.007143454511418179,0.0,0.0,0.0,0.0,0.0,0.0,-0.0509471979938755,0.0,-0.04292304254501269,0.0,-0.007799596545983554,-0.029770198588428772,0.0,0.0,0.0,0.0,0.0,0.0,-0.003850074503919193,0.0,0.0,-0.06653658666210692,-0.014946365814155144,-0.004302433912286584,0.0,0.0,0.0,0.0,0.0,-0.006074296497783508,0.0,0.0
0.0363672005852199,0.0,0.004957749725173893,0.017316947819732666,0.0,0.0,-0.016868792465454502,0.0,0.0,0.0,0.004176169434199407,0.0,0.0,0.0,-0.04157680953461754,0.0,0.0,0.004631113170889532,0.0,0.0,0.0,0.014591911875124852,0.0,0.09944462143039735,0.03598379986034925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01340990086628015,0.0,0.0,0.009679142907950598,0.0,0.0,-0.024043154879994907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07213536764735094,0.0,0.0,-0.02484258266028115,-0.017251042917034498,0.0,0.0,0.0,0.0,0.05761119770628485,0.023319203316294144,0.012483453176897868,0.0,0.0,0.0,0.0,0.0,0.046933438178752965,0.0,0.0
0.043182151586707976,0.065455207554843,0.0,0.014446229599442275,0.0,0.0,0.017851066875896333,0.0,0.0,0.0,0.0,0.0,0.008664187710315976,0.0,-0.04393874739482568,0.0,0.0,-0.02386773943730276,0.0,0.0,0.0,0.0,0.010871102526113714,-0.057221355101900406,0.0,0.029282414113505007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
